Change,Excluded,Original,en,it,
,,Generated Dungeon (Map 79),Generated Dungeon (Map 79),,
,,Generated Dungeon (Map 80),Generated Dungeon (Map 80),,
,,Generated Dungeon (Map 81),Generated Dungeon (Map 81),,
,,Generated Dungeon (Map 82),Generated Dungeon (Map 82),,
,,Generated Dungeon (Map 83),Generated Dungeon (Map 83),,
,,Generated Dungeon (Map 84),Generated Dungeon (Map 84),,
,,Generated Dungeon (Map 85),Generated Dungeon (Map 85),,
,,Generated Dungeon (Map 86),Generated Dungeon (Map 86),,
,,Generated Dungeon (Map 87),Generated Dungeon (Map 87),,
,,Generated Dungeon (Map 88),Generated Dungeon (Map 88),,
,,Generated Dungeon (Map 89),Generated Dungeon (Map 89),,
,,Generated Dungeon (Map 91),Generated Dungeon (Map 91),,
,,Generated Dungeon (Map 92),Generated Dungeon (Map 92),,
,,Generated Dungeon (Map 93),Generated Dungeon (Map 93),,
,,Generated Dungeon (Map 94),Generated Dungeon (Map 94),,
,,Generated Dungeon (Map 95),Generated Dungeon (Map 95),,
,,Generated Dungeon (Map 96),Generated Dungeon (Map 96),,
,,Generated Dungeon (Map 97),Generated Dungeon (Map 97),,
,,Generated Dungeon (Map 98),Generated Dungeon (Map 98),,
,,Pristine sewers,Pristine sewers,Fognature incontaminate,
,,Accursed market,Accursed market,Mercato maledetto,
,,Hypermetro station,Hypermetro station,Stazione Hypermetro,
,,Generated Map,Generated Map,Mappa generata,
,,The Vast Library,The Vast Library,La vasta biblioteca,
,,Miniature city,Miniature city,Città in miniatura,
,,Generated Dungeon (Map 127),Generated Dungeon (Map 127),,
,,Generated Dungeon (Map 128),Generated Dungeon (Map 128),,
,,Generated Dungeon (Map 129),Generated Dungeon (Map 129),,
,,Generated Dungeon (Map 130),Generated Dungeon (Map 130),,
,,Generated Dungeon (Map 131),Generated Dungeon (Map 131),,
,,Generated Dungeon (Map 132),Generated Dungeon (Map 132),,
,,The first room,The first room,La prima stanza,
,,Omega Tower,Omega Tower,Torre Omega,
,,Kt cave,Kt cave,Grotta Kt,
,,Arcade,Arcade,Galleria,
,,Girlfriend walkway,Girlfriend walkway,Passerella Hypernet Girlfriend,
,,Bush room,Bush room,Stanza cespugliosa,
,,Mini room,Mini room,Mini stanza,
,,Dream depot,Dream depot,Deposito dei sogni,
,,Buried city,Buried city,Città sepolta,
,,Flooded cave,Flooded cave,Grotta allagata,
,,Just a normal room,Just a normal room,Solo una stanza normale,
,,Prison space,Prison space,Spazio prigione,
,,The purple desert,The purple desert,Il deserto viola,
,,Moderna's Temple,Moderna's Temple,Moderna's Temple,
,,Generated Dungeon (Layer 0 - B1 Stacked Walls),Generated Dungeon (Layer 0 - B1 Stacked Walls),,
,,Generated Dungeon (Map 177),Generated Dungeon (Map 177),,
,,Generated Dungeon (Map 178),Generated Dungeon (Map 178),,
,,Generated Dungeon (Map 179),Generated Dungeon (Map 179),,
,,Generated Dungeon (Map 180),Generated Dungeon (Map 180),,
,,Generated Dungeon (Map 181),Generated Dungeon (Map 181),,
,,Generated Dungeon (Map 182),Generated Dungeon (Map 182),,
,,Generated Dungeon (Map 183),Generated Dungeon (Map 183),,
,,Generated Dungeon (Map 184),Generated Dungeon (Map 184),,
,,Generated Dungeon (Map 185),Generated Dungeon (Map 185),,
,,Generated Dungeon (Map 186),Generated Dungeon (Map 186),,
,,Generated Dungeon (Map 187),Generated Dungeon (Map 187),,
,,Generated Dungeon (Map 188),Generated Dungeon (Map 188),,
,,Generated Dungeon (Map 189),Generated Dungeon (Map 189),,
,,Generated Dungeon (Map 190),Generated Dungeon (Map 190),,
,,Generated Dungeon (Map 191),Generated Dungeon (Map 191),,
,,Generated Dungeon (Map 192),Generated Dungeon (Map 192),,
,,Generated Dungeon (Map 193),Generated Dungeon (Map 193),,
,,Generated Dungeon (Map 194),Generated Dungeon (Map 194),,
,,Generated Dungeon (Map 195),Generated Dungeon (Map 195),,
,,Generated Dungeon (Map 196),Generated Dungeon (Map 196),,
,,Generated Dungeon (Map 197),Generated Dungeon (Map 197),,
,,Generated Dungeon (Map 198),Generated Dungeon (Map 198),,
,,Generated Dungeon (Map 199),Generated Dungeon (Map 199),,
,,Generated Dungeon (Map 200),Generated Dungeon (Map 200),,
,,Generated Dungeon (Map 201),Generated Dungeon (Map 201),,
,,Generated Dungeon (Map 202),Generated Dungeon (Map 202),,
,,Generated Dungeon (Map 203),Generated Dungeon (Map 203),,
,,Generated Dungeon (Map 204),Generated Dungeon (Map 204),,
,,Generated Dungeon (Map 205),Generated Dungeon (Map 205),,
,,Generated Dungeon (Map 206),Generated Dungeon (Map 206),,
,,Generated Dungeon (Map 207),Generated Dungeon (Map 207),,
,,Generated Dungeon (Map 208),Generated Dungeon (Map 208),,
,,Generated Dungeon (Map 209),Generated Dungeon (Map 209),,
,,Generated Dungeon (Map 210),Generated Dungeon (Map 210),,
,,Generated Dungeon (Map 211),Generated Dungeon (Map 211),,
,,Generated Dungeon (Map 212),Generated Dungeon (Map 212),,
,,Generated Dungeon (Map 213),Generated Dungeon (Map 213),,
,,Generated Dungeon (Map 214),Generated Dungeon (Map 214),,
,,Generated Dungeon (Map 215),Generated Dungeon (Map 215),,
,,Generated Dungeon (Map 216),Generated Dungeon (Map 216),,
,,Generated Dungeon (Map 217),Generated Dungeon (Map 217),,
,,Generated Dungeon (Map 218),Generated Dungeon (Map 218),,
,,Generated Dungeon (Map 219),Generated Dungeon (Map 219),,
,,Generated Dungeon (Map 220),Generated Dungeon (Map 220),,
,,Generated Dungeon (Map 221),Generated Dungeon (Map 221),,
,,Generated Dungeon (Map 222),Generated Dungeon (Map 222),,
,,Generated Dungeon (Map 223),Generated Dungeon (Map 223),,
,,Generated Dungeon (Map 224),Generated Dungeon (Map 224),,
,,Generated Dungeon (Map 225),Generated Dungeon (Map 225),,
,,Generated Dungeon (Map 226),Generated Dungeon (Map 226),,
,,Generated Dungeon (Map 227),Generated Dungeon (Map 227),,
,,Generated Dungeon (Map 228),Generated Dungeon (Map 228),,
,,Generated Dungeon (Map 229),Generated Dungeon (Map 229),,
,,Generated Dungeon (Map 230),Generated Dungeon (Map 230),,
,,Generated Dungeon (Map 231),Generated Dungeon (Map 231),,
,,Generated Dungeon (Map 232),Generated Dungeon (Map 232),,
,,Generated Dungeon (Map 233),Generated Dungeon (Map 233),,
,,Generated Dungeon (Map 234),Generated Dungeon (Map 234),,
,,Generated Dungeon (Map 235),Generated Dungeon (Map 235),,
,,Generated Dungeon (Map 237),Generated Dungeon (Map 237),,
,,Generated Dungeon (Map 238),Generated Dungeon (Map 238),,
,,Generated Dungeon (Map 239),Generated Dungeon (Map 239),,
,,Generated Dungeon (Map 240),Generated Dungeon (Map 240),,
,,Generated Dungeon (Map 241),Generated Dungeon (Map 241),,
,,Generated Dungeon (Map 242),Generated Dungeon (Map 242),,
,,Generated Dungeon (Map 243),Generated Dungeon (Map 243),,
,,Generated Dungeon (Map 244),Generated Dungeon (Map 244),,
,,Generated Dungeon (Map 245),Generated Dungeon (Map 245),,
,,Generated Dungeon (Map 246),Generated Dungeon (Map 246),,
,,Generated Dungeon (Map 247),Generated Dungeon (Map 247),,
,,Generated Dungeon (Map 248),Generated Dungeon (Map 248),,
,,Generated Dungeon (Map 249),Generated Dungeon (Map 249),,
,,Generated Dungeon (Map 250),Generated Dungeon (Map 250),,
,,Generated Dungeon (Map 251),Generated Dungeon (Map 251),,
,,Generated Dungeon (Map 252),Generated Dungeon (Map 252),,
,,Generated Dungeon (Map 253),Generated Dungeon (Map 253),,
,,Generated Dungeon (Map 254),Generated Dungeon (Map 254),,
,,Generated Dungeon (Map 255),Generated Dungeon (Map 255),,
,,Generated Dungeon (Map 256),Generated Dungeon (Map 256),,
,,Generated Dungeon (Map 257),Generated Dungeon (Map 257),,
,,Generated Dungeon (Map 258),Generated Dungeon (Map 258),,
,,Generated Dungeon (Map 259),Generated Dungeon (Map 259),,
,,Generated Dungeon (Map 260),Generated Dungeon (Map 260),,
,,Generated Dungeon (Map 261),Generated Dungeon (Map 261),,
,,Generated Dungeon (Map 262),Generated Dungeon (Map 262),,
,,Generated Dungeon (Map 263),Generated Dungeon (Map 263),,
,,Generated Dungeon (Map 264),Generated Dungeon (Map 264),,
,,Generated Dungeon (Map 265),Generated Dungeon (Map 265),,
,,Generated Dungeon (Map 266),Generated Dungeon (Map 266),,
,,Generated Dungeon (Map 267),Generated Dungeon (Map 267),,
,,Generated Dungeon (Map 268),Generated Dungeon (Map 268),,
,,Generated Dungeon (Map 269),Generated Dungeon (Map 269),,
,,Generated Dungeon (Map 270),Generated Dungeon (Map 270),,
,,Generated Dungeon (Map 271),Generated Dungeon (Map 271),,
,,Generated Dungeon (Map 272),Generated Dungeon (Map 272),,
,,Generated Dungeon (Map 273),Generated Dungeon (Map 273),,
,,Generated Dungeon (Map 274),Generated Dungeon (Map 274),,
,,Generated Dungeon (Map 275),Generated Dungeon (Map 275),,
,,Generated Dungeon (Map 276),Generated Dungeon (Map 276),,
,,Generated Dungeon (Map 278),Generated Dungeon (Map 278),,
,,Generated Dungeon (Map 279),Generated Dungeon (Map 279),,
,,Generated Dungeon (Map 280),Generated Dungeon (Map 280),,
,,Generated Dungeon (Map 281),Generated Dungeon (Map 281),,
,,Generated Dungeon (Map 282),Generated Dungeon (Map 282),,
,,Generated Dungeon (Map 283),Generated Dungeon (Map 283),,
,,Generated Dungeon (Map 284),Generated Dungeon (Map 284),,
,,Generated Dungeon (Map 285),Generated Dungeon (Map 285),,
,,Generated Dungeon (Map 286),Generated Dungeon (Map 286),,
,,Generated Dungeon (Map 287),Generated Dungeon (Map 287),,
,,Generated Dungeon (Map 288),Generated Dungeon (Map 288),,
,,Generated Dungeon (Map 289),Generated Dungeon (Map 289),,
,,Generated Dungeon (Map 290),Generated Dungeon (Map 290),,
,,Generated Dungeon (Map 291),Generated Dungeon (Map 291),,
,,Generated Dungeon (Map 292),Generated Dungeon (Map 292),,
,,Generated Dungeon (Map 293),Generated Dungeon (Map 293),,
,,Generated Dungeon (Map 294),Generated Dungeon (Map 294),,
,,Generated Dungeon (Map 295),Generated Dungeon (Map 295),,
,,Generated Dungeon (Map 296),Generated Dungeon (Map 296),,
,,ad,ad,a.D,
,,Shopping Alley,Shopping Alley,Vicolo dello shopping,
,,Gym,Gym,Palestra,
,,Bait shop,Bait shop,Negozio di esche,
,,Camping room,Camping room,Stanza da campeggio,
,,Museum,Museum,Museo,
,,Ko's Bakery,Ko's Bakery,Panificio Ko,
,,Ice cream shop,Ice cream shop,Gelateria,
,,Costume shop,Costume shop,Negozio di costumi,
,,Music store,Music store,Negozio di musica,
,,Gun store,Gun store,Negozio di armi,
,,Apartments,Apartments,Appartamenti,
,,Holy reactor,Holy reactor,Il Santo reattore,
,,Old Europe,Old Europe,Vecchia Europa,
,,Hypertrain,Hypertrain,Ipertreno,
,,Cult meeting,Cult meeting,Riunione del culto,
,,Fake lab,Fake lab,Laboratorio falso,
,,Nothing,Nothing,Niente,
,,Red Brick Market,Red Brick Market,Mercato dei mattoni rossi,
,,Basement,Basement,Seminterrato,
,,Camper,Camper,Camper,
,,Lower sewers,Lower sewers,Fognature inferiori,
,,Docks,Docks,Banchine,
,,Deep chasm,Deep chasm,Abisso profondo,
,,House complex,House complex,Complesso di case,
,,Inner lake,Inner lake,Lago interno,
,,30,30,30,
,,Crocomoss cave,Crocomoss cave,Grotta Crocomuschio,
,,Buried grounds,Buried grounds,Terreni sepolti,
,,Illegal Alley,Illegal Alley,Vicolo illegale,
,,Elven ship,Elven ship,Nave elfica,
,,Inner meadows,Inner meadows,Prati interni,
,,Trash cave,Trash cave,Grotta dei rifiuti,
,,Bloody Roots,Bloody Roots,Radici insanguinate,
,,East side,East side,Lato est,
,,Bone desert,Bone desert,Deserto di ossa,
NEW,,Metro Tunnel,,Tunnel hypermetro,
,,Catacombs,Catacombs,Catacombe,
,,Sunken Tree,Sunken Tree,Albero sommerso,
,,Craft wagon,Craft wagon,,
NEW,,Abandoned Alley,,,
NEW,,Training center,,Centro allenamento,
NEW,,Pillar island,,,
NEW,,Underwater pass,,,
NEW,,Split Dungeon,,,
NEW,,Hut,,,
NEW,,Control room,,,
NEW,,"
[Common Events]
",,,
,,AHAH YOU WISH.,AHAH YOU WISH.,AHAH TI PARE.,
,,YOU ARE NOT WORTHY,YOU ARE NOT WORTHY,NON SEI DEGNO,
,,ddd,ddd,ddd,
,,Surf the Hypernet,Surf the Hypernet,Naviga nell'Hypernet,
,,Shopping,Shopping,Shopping,
NEW,,Latest news,,,
,,Open stock market,Open stock market,Apri mercato azionario,
NEW,,Buy real estate,,,
,,Use,Use,Utilizzo,
,,Set up camp,Set up camp,Monta l'accampamento,
,,Cook,Cook,Cucina,
,,Sleep by the fire,Sleep by the fire,Dormi vicino al fuoco,
,,Archive your journey,Archive your journey,Archivia il tuo viaggio,
,,Retire from adventuring,Retire from adventuring,Ritirati dalla vita da avventuriero,
,,Put out fire,Put out fire,Spegni il fuoco,
NEW,,"Do you really want to retire from adventuring
and return home?",,,
,,Wake up,Wake up,Svegliati,
,,Dream,Dream,Sogno,
,,Keep sleeping,Keep sleeping,Continua a dormire,
,,Clean your clothes?,Clean your clothes?,Vuoi lavare i tuoi vestiti?,
,,Wash your hands,Wash your hands,Lavati le mani,
,,Wash your face,Wash your face,Lavati la faccia,
,,Drink,Drink,Bere,
,,Do experiment,Do experiment,Fai un esperimento,
,,Take a shower,Take a shower,Fare una doccia,
,,Show map name,Show map name,Mostra il nome della mappa,
,,Show coordinates,Show coordinates,Mostra coordinate,
,,Rest,Rest,Riposo,
,,The egg is empty.,The egg is empty.,L'uovo è vuoto.,
,,Take a seat,Take a seat,Prendi posto,
,,Stop camping,Stop camping,Smetti di campeggiare,
,,Yes?,Yes?,Si?,
,,Do you have any questions?,Do you have any questions?,Hai delle domande?,
,,I'm here to help,I'm here to help,Sono qui per aiutarti,
,,What is this place?,What is this place?,Che posto è questo?,
,,Where is the dungeon entrance?,Where is the dungeon entrance?,Dov’è l’ingresso del dungeon?,
,,Where i can find companions?,Where i can find companions?,Dove posso trovare dei compagni?,
,,Where i can go shopping?,Where i can go shopping?,Dove posso fare acquisti?,
,,I have other questions...,I have other questions...,Ho altre domande…,
NEW,,"We call this place Omega Tower
No one's quite sure what it used to be.",,"Chiamiamo questo posto Torre Omega.
Nessuno sa davvero cosa fosse un tempo.",
NEW,,"It’s massive: it extends into the clouds and 
burrows deep down into the bowels of earth. ",,"È immensa: si estende tra le nuvole e
Scava nelle viscere della terra.",
NEW,,"Most likely a failed arcology project built 
on anomalous and thaumaturgical principles. ",,"Probabilmente un progetto fallito di arcologia,
basato su principi anomali e taumaturgici.",
NEW,,"We've deployed probes for over a
thousand floors in both directions. 
No confirmed top...or bottom.",,"Abbiamo inviato sonde per oltre
mille piani in entrambe le direzioni.
Nessuna cima confermata… né fondo.",
NEW,,"The entrance is at the Hypernet Point. 
Take the elevator to Floor 0 then go to the
door to the left.",,"L’ingresso è al Punto Hypernet.
Prendi l’ascensore fino al Piano 0, poi vai
alla porta sulla sinistra.",
NEW,,"Once inside take the big central staircase
and you can start exploring freely, just 
remember to stock up before an expedition.",,"Una volta dentro prendi la grande scala centrale
e potrai iniziare a esplorare liberamente,
ricorda solo di fare scorte prima di una spedizione.",
,,Do you want me to take you there?,Do you want me to take you there?,Vuoi che ti porti lì?,
,,Ok, please follow me.,Ok, please follow me.
NEW,,"Like everywere in the tower!
Almost every person here is a",,,
,,Some of them are willing to team up if your goals align.,Some of them are willing to team up if your goals align.,"Alcuni di loro sono disposti a fare squadra se i
vostri obiettivi coincidono.",
,,Its' dangerous to go alone!,Its' dangerous to go alone!,È pericoloso andare da solo!,
